Date,Forecast,Lower,Upper
2025-03-13,67763.71199096905,65337.472236542104,70398.95197274322
2025-03-14,67760.07494717809,65261.68695823249,70494.27960308494
2025-03-15,67764.64760448184,64984.12902964138,70432.03210993922
2025-03-16,67767.37680441109,65202.95177508565,70427.87034911232
2025-03-17,67792.6578712532,65229.095379586484,70487.89305285769
2025-03-18,67798.76598724973,65246.39732110244,70550.47818816506
2025-03-19,67807.50050246627,65067.71017577169,70371.8497401287
2025-03-20,67811.2178618272,65158.761550452706,70623.08545130627
2025-03-21,67807.70871761584,65129.644447660365,70362.27188286287
2025-03-22,67812.93686081865,65021.94398338991,70518.00386499692
2025-03-23,67816.89586193122,65207.53444073072,70490.43034328995
2025-03-24,67844.020997781,65310.830171192334,70677.24311645994
2025-03-25,67852.61866773009,64997.52637794635,70491.74006734087
2025-03-26,67864.5088931844,65261.79942606467,70607.09267131313
2025-03-27,67872.05664895248,65178.28788554433,70437.20921999891
2025-03-28,67873.04765563244,65275.25540764731,70380.32284849988
2025-03-29,67883.42632008957,65185.98152282571,70752.35686522629
2025-03-30,67893.15175932251,65325.49099519346,70410.65805948805
2025-03-31,67926.6095183824,65231.791290549896,70685.80645037688
2025-04-01,67942.041208006,65243.40309289688,70563.76627851672
2025-04-02,67961.18766547622,65357.23614802419,70665.13256015239
2025-04-03,67976.32138361277,65418.27635635253,70567.15845170415
2025-04-04,67985.12382008364,65061.35530388691,70767.30890842118
2025-04-05,68003.42524405957,65224.90105735443,70752.31294787202
2025-04-06,68021.06301309851,65279.62668455117,70558.83406311343
