Date,Price_10g_hist,Price_10g_mcx,Gold_Price
2020-08-20,46486.50473419389,52302.0,52302.0
2020-08-21,46381.82198144904,52045.0,52045.0
2020-08-24,46354.87967592071,51385.0,51385.0
2020-08-25,45615.123699905154,50936.0,50936.0
2020-08-26,46134.197116080184,51619.0,51619.0
2020-08-27,45668.976160239195,50507.0,50507.0
2020-08-28,46062.40455254232,51050.0,51050.0
2020-08-31,46062.40455254232,51099.0,51099.0
2020-09-01,46335.17128297459,51017.0,51017.0
2020-09-02,45863.19867539023,50577.0,50577.0
2020-09-03,45825.96813863391,50768.0,50768.0
2020-09-04,45360.20062050895,50728.0,50728.0
2020-09-07,45536.99744401755,51149.0,51149.0
2020-09-08,45242.657578729086,51433.0,51433.0
2020-09-09,45904.60880608291,51486.0,51486.0
2020-09-10,46490.8772324658,51832.0,51832.0
2020-09-11,45978.459015866385,51393.0,51393.0
2020-09-14,46218.23910492388,51759.0,51759.0
2020-09-15,46128.60289034997,51818.0,51818.0
2020-09-16,46328.901892070025,51876.0,51876.0
2020-09-17,45827.67212693106,51498.0,51498.0
2020-09-18,46122.365650167994,51764.0,51764.0
2020-09-21,45168.839519668196,50512.0,50512.0
2020-09-22,45060.20222804508,50454.0,50454.0
2020-09-23,44300.25559824456,49576.0,49576.0
2020-09-24,44124.19824135548,49959.0,49959.0
2020-09-25,44082.56305560468,49539.0,49539.0
2020-09-28,44234.98963139196,49928.0,49928.0
2020-09-29,44676.997765524786,50607.0,50607.0
2020-09-30,44631.31158872796,50232.0,50232.0
2020-10-01,44781.87342260517,50345.0,50345.0
2020-10-02,44849.422090761494,,44849.422090761494
2020-10-05,44880.9941003424,50809.0,50809.0
2020-10-06,45186.8439243172,50617.0,50617.0
2020-10-07,44434.06690565371,50133.0,50133.0
2020-10-08,44498.464802996445,50239.0,50239.0
2020-10-09,45129.90499461476,50872.0,50872.0
2020-10-12,45414.69609529474,51166.0,51166.0
2020-10-13,44641.085408394545,50306.0,50306.0
2020-10-14,44997.122510328416,50614.0,50614.0
2020-10-15,44666.03436912244,50775.0,50775.0
2020-10-16,44977.70347388557,50605.0,50605.0
2020-10-19,44940.76229363255,50751.0,50751.0
2020-10-20,44843.89216647644,50937.0,50937.0
2020-10-21,45522.36886524024,51313.0,51313.0
2020-10-22,45021.782114553025,50741.0,50741.0
2020-10-23,45194.65654990596,50820.0,50820.0
2020-10-26,45145.369492179336,50953.0,50953.0
2020-10-27,45173.50137444338,50984.0,50984.0
2020-10-28,44616.747311395826,50483.0,50483.0
2020-10-29,44733.61518800135,50276.0,50276.0
2020-10-30,45127.84734836915,50641.0,50641.0
2020-11-02,45272.58990145804,51032.0,51032.0
2020-11-03,45813.07569887634,51509.0,51509.0
2020-11-04,45338.2095262591,50829.0,50829.0
2020-11-05,46094.39452151688,51901.0,51901.0
2020-11-06,46155.89885382674,52190.0,52190.0
2020-11-09,44462.552445866226,49795.0,49795.0
2020-11-10,44864.46862893244,50561.0,50561.0
2020-11-11,44562.8305496166,50230.0,50230.0
2020-11-12,44970.24450624528,50652.0,50652.0
2020-11-13,45311.46012506631,50956.0,50956.0
2020-11-14,,50945.0,50945.0
2020-11-16,45107.495940971276,50870.0,50870.0
2020-11-17,45202.72638127542,50806.0,50806.0
2020-11-18,44718.82585561111,50377.0,50377.0
2020-11-19,44261.44967608147,50063.0,50063.0
2020-11-20,44695.74163679328,50279.0,50279.0
2020-11-23,43912.71078817496,49555.0,49555.0
2020-11-24,42845.62830549617,48683.0,48683.0
2020-11-25,42914.36655038822,48568.0,48568.0
2020-11-26,42895.17256900349,48597.0,48597.0
2020-11-27,42329.93071519282,48189.0,48189.0
2020-11-30,41931.45465944347,47898.0,47898.0
2020-12-01,42788.560772903365,48641.0,48641.0
2020-12-02,43200.54013213947,48959.0,48959.0
2020-12-03,43504.589515649364,49061.0,49061.0
2020-12-04,43703.57033774334,49322.0,49322.0
2020-12-07,44087.032006044334,49923.0,49923.0
2020-12-08,44262.800006430145,50049.0,50049.0
2020-12-09,43697.26879611619,49256.0,49256.0
2020-12-10,43734.62793576285,49081.0,49081.0
2020-12-11,43670.326490587875,49306.0,49306.0
2020-12-14,43371.581976304915,48916.0,48916.0
2020-12-15,43744.20885109393,49416.0,49416.0
2020-12-16,43843.71533750221,49544.0,49544.0
2020-12-17,44696.32034979986,50263.0,50263.0
2020-12-18,44442.329641358694,50100.0,50100.0
2020-12-21,44703.29705660134,50146.0,50146.0
2020-12-22,44583.95357435658,49768.0,49768.0
2020-12-23,44482.550195315634,49909.0,49909.0
2020-12-24,44482.550195315634,49787.0,49787.0
2020-12-25,44482.550195315634,,44482.550195315634
2020-12-28,44482.550195315634,49761.0,49761.0
2020-12-29,44242.96301059367,49722.0,49722.0
