feature,mean_abs_shap
Close,4.366906648643257
High,1.891819372583731
Open,1.1160165975629819
Low,0.33717091778452085
GDX_Open,0.25682502580243494
GDX_Low,0.24539674784786084
SP_high,0.211987171801486
SF_Price,0.08061514129934444
PLT_Price,0.030117674871932707
GDX_Close,0.01443244457244885
EG_Ajclose,0.01175412532895146
RHO_PRICE,0.010541549690010098
USDI_High,0.010256809707759508
SP_low,0.009685387315676388
OF_Price,0.007846290085667371
USB_Low,0.007516764337702602
PLT_Trend,0.007215445466744128
PLT_Open,0.0072042411242342445
EG_volume,0.00694935262665286
PLD_Price,0.006797317497490169
USDI_Price,0.00641446952671949
EG_open,0.006187219989392214
SP_open,0.005773302085640349
OF_Volume,0.00523065652034077
GDX_Volume,0.005007672235947461
OS_Low,0.004899893509325284
GDX_Adj Close,0.004680424771568137
PLD_Open,0.004475735361262177
EG_high,0.004251388690268339
EG_close,0.003920185066933186
SF_Volume,0.003880694670270754
OF_High,0.0035384677177251705
SP_volume,0.003524886951890147
USDI_Open,0.003257632883943889
DJ_low,0.003223727026651007
OS_Price,0.003127641973569717
DJ_open,0.0030177951043891455
OS_Open,0.0029129953901902614
USB_Price,0.0027986693936723536
SP_Ajclose,0.0027042916024377574
SF_High,0.00261256761329149
SF_Trend,0.002535315890644775
USB_High,0.0024970540335013934
Volume,0.0024484863576964572
PLD_High,0.002079519412313702
USDI_Low,0.002023876692897421
USDI_Volume,0.0019188166773595236
USO_Volume,0.0018524788331615747
SF_Open,0.0018037906543226893
PLT_High,0.0017686318981555134
SF_Low,0.0016957670404006908
EU_low,0.00169349090073413
DJ_volume,0.0016136696541957586
GDX_High,0.001613408687502625
OF_Low,0.001475931581600907
USB_Open,0.0014693289024884032
SP_close,0.0014689777063771276
PLT_Low,0.0013658517645314535
PLD_Trend,0.0013363538416780027
USB_Trend,0.0011224161562072954
USO_Open,0.0010322665798570085
EG_low,0.000986494019974203
DJ_close,0.000982133769249768
EU_open,0.0009688220652500485
OF_Open,0.0008964112008266024
PLD_Low,0.0008769443423254403
USDI_Trend,0.0008486929605172383
EU_Price,0.0007725161545037427
DJ_high,0.0006634835679406115
USO_High,0.0006342841673266663
DJ_Ajclose,0.0006081212583439779
EU_high,0.000531003382779088
OF_Trend,0.0004933052654413669
USO_Low,0.0004772039901380821
OS_Trend,0.0004621429960858306
USO_Close,0.00045952464258939196
EU_Trend,0.0004201200766158103
OS_High,0.0003835303654042214
USO_Adj Close,0.00021432980086452018
